Date,Close,Predictions,title_senti_comp,news_senti_comp,avg_senti_comp,residual,ols_adjusted_pred,recommnedation,recommendation,Buy,Purchased
2021-11-02,2500.800048828125,2531.6929,0.0,0.0,0.0,30.892822265625,2507.275048828125,Hold,Hold,0,0.0
2021-11-03,2483.60009765625,2505.447,0.0,0.29600000000000004,0.15,21.846923828125,2485.6706176562498,Hold,Hold,0,0.0
2021-11-04,2498.85009765625,2485.5413,0.0,0.0,0.0,-13.308837890625,2505.32509765625,Hold,Hold,0,0.0
2021-11-08,2501.949951171875,2481.5452,0.0,0.0,0.0,-20.40478515625,2508.424951171875,Hold,Hold,0,0.0
2021-11-09,2521.699951171875,2475.7185,0.1366,0.93785,0.54,-45.9814453125,2514.219743171875,Hold,Hold,0,0.0
2021-11-10,2549.89990234375,2477.609,0.0,0.0,0.0,-72.291015625,2556.37490234375,Hold,Hold,0,0.0
2021-11-11,2554.550048828125,2517.7634,0.0,0.0,0.0,-36.78662109375,2561.025048828125,Hold,Hold,0,0.0
2021-11-12,2593.10009765625,2546.414,0.0,0.7667999999999999,0.385,-46.68603515625,2588.16511365625,Hold,Hold,0,0.0
2021-11-15,2577.800048828125,2557.5847,0.0,0.0,0.0,-20.21533203125,2584.275048828125,Hold,Hold,0,0.0
2021-11-16,2517.89990234375,2557.8486,0.0,0.0,0.0,39.94873046875,2524.37490234375,Hold,Hold,0,0.0
2021-11-17,2464.0,2538.454,0.0,0.0,0.0,74.4541015625,2470.475,Hold,Hold,0,0.0
2021-11-18,2473.300048828125,2500.2942,0.0,0.0,0.0,26.994140625,2479.775048828125,Hold,Hold,0,0.0
2021-11-22,2363.75,2444.3267,0.0,0.7351,0.37,80.57666015625,2359.286712,Hold,Hold,0,0.0
2021-11-23,2385.85009765625,2406.025,-0.3182,0.2023,-0.06,20.1748046875,2389.31487365625,Hold,Hold,0,0.0
2021-11-24,2351.39990234375,2401.4595,0.0,0.0,0.0,50.0595703125,2357.87490234375,Hold,Hold,0,0.0
2021-11-25,2492.949951171875,2381.5085,0.03558,0.5471,0.292,-111.44140625,2491.284103171875,Hold,Hold,0,0.0
2021-11-26,2412.60009765625,2417.7864,0.0,0.0,0.0,5.186279296875,2419.07509765625,Hold,Hold,0,0.0
2021-11-29,2441.5,2457.7703,0.0,0.6696,0.3325,16.270263671875,2438.011352,Hold,Hold,0,0.0
2021-11-30,2405.39990234375,2398.4004,0.0,0.235,0.12,-6.99951171875,2408.37810234375,Hold,Hold,0,0.0
2021-12-01,2467.0,2428.4922,0.0,0.0,0.0,-38.5078125,2473.475,Hold,Hold,0,0.0
2021-12-02,2482.85009765625,2420.7263,0.11333333333333336,0.4933,0.3033333333333333,-62.123779296875,2481.98479365625,Hold,Hold,0,0.0
2021-12-03,2408.25,2453.827,-0.0258,0.5106,0.24,45.576904296875,2407.1272719999997,Hold,Hold,0,0.0
2021-12-06,2362.60009765625,2430.03,0.0,0.0,0.0,67.429931640625,2369.07509765625,Hold,Hold,0,0.0
2021-12-07,2381.85009765625,2390.8467,0.0,0.996,0.5,8.99658203125,2373.50461765625,Hold,Hold,0,0.0
2021-12-08,2418.10009765625,2348.0027,0.0,0.8491666666666667,0.4266666666666667,-70.097412109375,2411.93949765625,Hold,Hold,0,0.0
2021-12-09,2456.449951171875,2363.8428,0.0,0.0,0.0,-92.607177734375,2462.924951171875,Hold,Hold,0,0.0
2021-12-10,2458.949951171875,2427.1118,0.0,0.5553,0.275,-31.838134765625,2457.162087171875,Hold,Hold,0,0.0
2021-12-13,2409.64990234375,2448.0525,0.0,0.0,0.0,38.402587890625,2416.12490234375,Hold,Hold,0,0.0
2021-12-14,2380.14990234375,2433.0593,0.0,0.0,0.0,52.909423828125,2386.62490234375,Hold,Hold,0,0.0
